University_Name,IA ID,University_Type,IA_City,Former_Name,Name _Change _Date,Address,Establishment,Website_Link,Recognizing_Body,Date_of_Extration,UGC_Source_Link
“Kaushalya” the Skill University,Not Found,(State University),Ahmedabad,NA,NA,Mahatma Gandhi Labour Institute (MGLI) Drive-in Road Memnagar Ahmedabad – 380052 Gujarat,20.10.2021,https://kaushalyaskilluniversity.ac.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
A.K.S. University,Not Found,(Private University),Satna,NA,NA,"Satna,Madhya Pradesh.",31.12.2011,http://www.aksuniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
A.P.G. (Alakh Prakash Goyal) Shimla University,Not Found,(Private University),Shimla,NA,NA,Village – Pujarli Shohgi Mehli Bypass Road Near Panthaghati Shimla - 171009 Himachal Pradesh.,07.06.2012,https://agu.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
A.P.J. Abdul Kalam Technological University,353869,(State University),Thiruvananthapuram,NA,NA,CET Campus Thiruvananthapuram – 695016 Kerala.,2015,https://ktu.edu.in/home.htm,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AAFT University of Media and Arts,Not Found,(Private University),Raipur,NA,NA,Vill- Maath Tehsil-Tilda Dist Raipur Chhattisgarh,17.04.2018,https://aaft.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Abhilashi University,Not Found,(Private University),Mandi,NA,NA,Chailchowk (Chachiot) Distt. Mandi Himachal Pradesh.,23.01.2015,http://www.abhilashiuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Academy of Maritime Education and Training,Not Found,(Deemed University),Chennai,NA,NA,135 East Coast Road Kanathur Chennai-603112 Tamil Nadu.,21.08.2007,https://www.ametuniv.ac.in/,University Grants Commission (UGC),13/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Acharya N.G. Ranga Agricultural University,Not Found,(State University),Guntur,NA,NA,Lam Guntur – 522 034 Andhra Pradesh,1964,https://angrau.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Acharya Nagarjuna University,305663,(State University),Guntur,NA,NA,Nagarjuna Nagar-522510 Dt. Guntur Andhra Pradesh.,1976,https://nagarjunauniversity.ac.in/indexanu.php,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adamas University,Not Found,(Private University),Barasat,NA,NA,Barasat Barrackpore Road Barberia PO Jagannathpur PS Barasat Kolkata – 700126 West Bengal.,11.04.2014,https://adamasuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adani University,Not Found,(Private University),Ahmedabad,NA,NA,Shantigram Township Near Vaishnodevi Circle SG Highway Ahmedabad Gujarat - 382241,01.06.2022,https://www.adaniuni.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adesh University,312327,(Private University),Bathinda,NA,NA,NH-7 Barnala Road Bathinda Punjab.,10.07.2012,https://adeshuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adichunchanagiri University,Not Found,(Private University),Mandya,NA,NA,NH-75 Tq- Nagamangala Dist- Mandya B.G. Nagara- 571448 Karnataka,22.01.2018,https://acu.edu.in/contactus/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adikavi Nannaya University,349639,(State University),Rajamahendravaram,NA,NA,25-7-9/1 Jayakrishnapuram Rajahmundry – 533 105 East Godavari District Andhra Pradesh.,2006,https://www.aknu.edu.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Agriculture University,Not Found,(State University),Jodhpur,NA,NA,Jodhpur – 342 304,14.09.2013,https://www.aujodhpur.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Ahmedabad University,Not Found,(Private University),Ahmedabad,NA,NA,AES Bungalow # 2 Near Commerce Six Roads Navrangpura Ahmedabad – 380 009 Gujarat.,07.07.2009,https://ahduni.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Bhatinda),371487,Autonomous Institute,Bhatinda,NA,NA,"Mandi Dabwali Road, Bathinda Punjab-151001",2019,https://aiimsbathinda.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Bhubaneswar),329087,Autonomous Institute,Bhubaneswar,NA,NA,"Sijua, Patrapada, Bhubaneswar-751019",2012,https://aiimsbhubaneswar.nic.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Bibinagar),Not Found,Autonomous Institute,Bibinagar,NA,NA,"Bibinagar, Telangana 508126",2019,https://aiimsbibinagar.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Deoghar),Not Found,Autonomous Institute,Deoghar,NA,NA,"Ramsagar, Jharkhand 814152",2019,https://www.aiimsdeoghar.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Gorakhpur),Not Found,Autonomous Institute,Gorakhpur,NA,NA,"Kunraghat, Gorakhpur, Uttar Pradesh (273008) , INDIA",2019,https://aiimsgorakhpur.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Jodhpur),305264,Autonomous Institute,Jodhpur,NA,NA,"Marudhar Industrial Area, 2nd Phase, M.I.A. 1st Phase, Basni, Basni, Jodhpur, Rajasthan 342005",2012,https://www.aiimsjodhpur.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Kalyani),Not Found,Autonomous Institute,Kalyani,NA,NA,"NH - 34 Connector, Basantapur, Saguna West Bengal - 741245",2019,https://aiimskalyani.edu.in/aiims-kalyani/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Mangalagiri),Not Found,Autonomous Institute,Mangalagiri,NA,NA,"Mangalagiri, Guntur District  Andhra Pradesh - 522503",2018,https://www.aiimsmangalagiri.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Nagpur),368703,Autonomous Institute,Nagpur,NA,NA,"Plot No. 2, Sector - 20, MIHAN, Nagpur, Maharashtra, Pin: 441108",2018,http://aiimsnagpur.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(New Delhi),304968,Autonomous Institute,New Delhi,NA,NA,"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, New Delhi, Delhi 110029",1956,https://www.aiims.edu/index.php?lang=en,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Raebareli),Not Found,Autonomous Institute,Raebareli,NA,NA,"Dalmau Road, Munshiganj, Raebareli, Uttar Pradesh. India - 229405",2013,https://aiimsrbl.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Raipur),308717,Autonomous Institute,Raipur,NA,NA,"Tatibandh, G E Road, Raipur Chhattisgarh - Pin No: 492 099",2012,https://www.aiimsraipur.edu.in/user/about.php,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Rishikesh),307589,Autonomous Institute,Rishikesh,NA,NA,"Shivaji Nagar, Rishikesh, Uttarakhand 249202",2012,https://aiimsrishikesh.edu.in/a1_1/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIPH University,Not Found,(Private University),Bhubaneswar,NA,NA,Pahala On Bhubaneswar-Cuttack NH-5 Bhubaneswar- 752101 Odisha,26.02.2018,https://aiph.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AISECT University,Not Found,(Private University),Hazaribagh,NA,NA,Matwari Chowk Infront of Gandhi Maidan Hazaribagh Jharkhand.,13.05.2016,https://www.aisectuniversityjharkhand.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Ajeenkya D.Y. Patil University,Not Found,(Private University),Pune,NA,NA,Charholi Badruk Via Lohegaon Pune-412105 Maharashtra.,25.02.2015,https://adypu.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Akal University,Not Found,(Private University),Bathinda,NA,NA,Talwandi Sabo – 151302 District Bathinda Punjab. .,04.06.2015,https://auts.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Al-Falah University,349832,(Private University),Faridabad,NA,NA,Faridabad Haryana,02.05.2014,https://www.alfalahuniversity.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Al-Karim University,Not Found,(Private University),Katihar,NA,NA,Near Kathiar-Purenea Road Sirsa Karim Bagh Katihar – 854 106 Bihar,15.06.2018,https://www.alkarimuniversity.edu.in/cgi-sys/suspendedpage.cgi,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Alagappa University,305274,(State University),Karaikudi,NA,NA,Alagappapuram Karaikudi-630003 Sivaganga District Taml Nadu.,1985,https://alagappauniversity.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Aliah University,321961,(State University),Kolkata,NA,NA,Salte Campus DN-41 Sector-V Salt Lake City Kolkata-700091 West Bengal.,2007,https://www.aliah.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Aligarh Muslim University,305606,(Central University),Aligarh,NA,NA,Aligarh-202 002.,1920,https://www.amu.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Alipurduar University,Not Found,(State University),Alipurduar,NA,NA,P.O. Alipurduar Court Dist- Alipurduar West Bengal- 736122,07.01.2021,https://alipurduaruniversity.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
All India Institute of Medical Sciences,Not Found,Autonomous Institute,Mangalagiri,NA,NA,"Mangalagiri, Guntur District  Andhra Pradesh - 522503",2018,https://www.aiimsmangalagiri.edu.in/,National Medical Commission,14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
All India Institute of Medical Sciences Bhopal,314596,Autonomous Institute,Saket Nagar,NA,NA,"Saket Nagar,Bhopal,Madhya Pradesh - 462020",2012,https://www.aiimsbhopal.edu.in/,National Medical Commission,14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Alliance University,Not Found,(Private University),Bangalore,NA,NA,Bangalore Karnataka,16.09.2010,https://www.alliance.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Amity University,305608,(Private University),Noida,NA,NA,Sector – 125 Noida- 201313 Uttar Pradesh (Private University,24.03.2005,https://www.amity.edu/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Gwalior",Not Found,(Private University),Gwalior,NA,NA,Maharajpura Dang Gwalior-474005 Madhya Pradesh.,30.12.2010,https://www.amity.edu/gwalior/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Haryana",339988,(Private University),Gurgaon,NA,NA,Amity Education Valley Panchgaon Manesar Distt. – Gurgaon-122 413 Haryana.,26.04.2010,https://www.amity.edu/gurugram/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Jaipur",373401,(Private University),Jaipur,NA,NA,NH-11C KantKalwar Jaipur – 303 002 Rajasthan.,29.03.2008,https://www.amity.edu/jaipur/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Kolkata",Not Found,(Private University),New Town,NA,NA,Rajarhat New Town Dist. North 24 Parganas West Bengal.,21.01.2015,https://www.amity.edu/kolkata/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Mohali",Not Found,(Private University),Mohali,NA,NA,D4 Block- D Sector-82 Alpha IT City S.A.S Nagar Mohali Punjab,30.03.2021,https://www.amity.edu/mohali/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Mumbai",Not Found,(Private University),Mumbai,NA,NA,Mumbai-Pune Expressway Bhatan Post – Somathne Panvel Mumbai Maharashtra – 410206.,25.07.2014,https://www.amity.edu/mumbai/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Patna",Not Found,(Private University),Patna,NA,NA,Rupaspur Bailey Road Patna – 801503 Bihar,18.08.2017,https://www.amity.edu/bihar/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Raipur",Not Found,(Private University),Raipur,NA,NA,Village-Manth Tehsil-Tilda Distt-Raipur Chhattisgarh.,21.08.2014,https://www.amity.edu/raipur/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
"Amity University, Ranchi",Not Found,(Private University),Ranchi,NA,NA,Ranchi City Campus Niwaranpur Main Road Ranchi Jharkhand.,13.05.2016,https://www.amity.edu/ranchi/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Amrita Vishwa Vidyapeetham,305275,(Deemed University),Coimbatore,NA,NA,Amritanagar Ettimadai Coimbatore-641 112 Tamil Nadu.,13.01.2003,https://www.amrita.edu/campus/coimbatore/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Anand Agricultural Univerisity,377366,(State University),Anand,NA,NA,Anand Gujarat-388110.,2004,http://www.aau.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Anant National University,Not Found,(Private University),Ahmedabad,NA,NA,Sanskardham Campus Bhopal-Ghuma Sanand Road Ahmedabad Gujarat – 382115.,09.05.2016,https://anu.edu.in/?utm_source=GMBlisting&utm_medium=organic,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Andhra Kesari University,Not Found,(State University),Ongole,NA,NA,Pernamitta Ongole Prakasam District - 523 225 Andhra Pradesh,11.01.2022,NA,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Andhra University,304941,(State University),Visakhapatnam,NA,NA,Waltair Visakhapatnam-530 003 Andhra Pradesh.,1926,https://www.andhrauniversity.edu.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Anna University,300242,(State University),Chennai,NA,NA,Sardar Patel Road Guindy Chennai-600 025 Tamil Nadu.,1978,https://www.annauniv.edu/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Annamalai University,305277,(State University),Annamalainagar,NA,NA,Annamalainagar-608 002 Chidambaram Tk Tamil Nadu.,1929,https://annamalaiuniversity.ac.in/index.php,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Anurag University,Not Found,(Private University),Hyderabad,NA,NA,Venkatapur (V) Ghatkesar (M) Medchal (Dist) Hyderabad Telangana- 500088,20.05.2020,https://anurag.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Apeejay Stya University,Not Found,(Private University),Gurgaon,NA,NA,Sohna-Palwal Road Sohna Gurgaon – 122 103 Haryana.,02.11.2010,https://university.apeejay.edu/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Apex Professional University,363885,(Private University),Pasighat,NA,NA,Pasighat District East Siang Arunachal Pradesh - 791102.,10.05.2013,https://www.apexuniversity.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Apex University,Not Found,(Private University),Jaipur,NA,NA,Jaipur- 303002 Rajasthan.,05.10.2018,https://www.apexuniversity.co.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
ARKA Jain University,Not Found,(Private University),Seraikela Kharsawan,NA,NA,Opp. Kerala Public School Mohanpur Gamharia Dist – Seraikela Kharsawan – 832108 Jharkhand.,04.07.2017,https://arkajainuniversity.ac.in/contact-us/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Arni University,382348,(Private University),Kathgarh,NA,NA,Kathgarh TehsilIndora Distt. Kangra-176401 Himachal Pradesh. .,03.11.2009,https://www.arni.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Arunachal Pradesh University,Not Found,(Private University),Pasighat,NA,NA,Pasighat Arunachal Pradesh,01.07.2022,NA,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Arunachal University of Studies,311298,(Private University),Namsai,NA,NA,NH-52 Namsai District Lohit – 792 103 Arunachal Pradesh.,26.05.2012,https://www.arunachaluniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Arunodaya University,Not Found,(Private University),Itanagar,NA,NA,Lekhi Village Naharlagun Itanagar Distt. Papum Pare Arunachal Pradesh – 791110,21.10.2014,https://arunodayauniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Aryabhatta knowledge University,313936,(State University),Patna,NA,NA,8 Off Polo Road Patna – 800 001 Bihar,2008,http://akubihar.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
ASBM University,Not Found,(Private University),Bhubaneswar,NA,NA,Shiksha Vihar PO- Bhola Chandaka Dist-Khurdha Bhubaneswar- 754012 Odisha,26.09.2019,https://www.asbm.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Ashoka University,369904,(Private University),Sonipat,NA,NA,Plot No. 2 Rajiv Gandhi Education City Kundli NCR Sonepat – 131029 Haryana.,02.05.2014,http://ashoka.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Asian International University,Not Found,(Private University),Imphal,NA,NA,Lamsang Manipur- 795113,23.02.2021,https://aiu.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam Agricultural University,Not Found,(State University),Jorhat,NA,NA,Jorhat- 785 013 Assam.,1968,http://www.aau.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam Don Bosco University,Not Found,(Private University),Guwahati,NA,NA,Azara Guwahati-781017 Assam.,12.02.2009,https://www.dbuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam Down Town University,332428,(Private University),Guwahati,NA,NA,Sankar Madhab Path Gandhi Nagar Panikhaiti Guwahati – 781 036.,29.04.2010,https://adtu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam Rajiv Gandhi University of Co-operative Management,Not Found,(State University),Sibsagar,NA,NA,2nd Floor Baruah Complex Above SBI Sivasagar-785040 Assam.,2010,https://argucom.assam.gov.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam Science & Technology University,Not Found,(State University),Guwahati,NA,NA,Kahilipara Guwahati – 19 Assam.,2011,https://astu.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam University,352094,(Central University),Silchar,NA,NA,PO Assam University Silchar -788 011 Assam.,1994,http://www.aus.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Assam Women’s University,Not Found,(State University),Jorhat,NA,NA,"Jorhat-785004 Assam. 
        ",21.08.2013,https://www.awu.ac.in/,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Atal Bihari Vajpai Hindi Vishwavidyalaya,Not Found,(State University),Bhopal,NA,NA,M.P. Bhoj (Open) University Campus Kolar Road Bhopal – 462016 Madhya Pradesh.,2011,http://www.abvhv.edu.in/,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Atal Bihari Vajpayee Medical University,Not Found,(State University),Lucknow,NA,NA,Uttar Pradesh 9th Floor Academic Block Dr. Ram Manohar Lohia Institute of Medical Sciences Vibhuti Khand Lucknow- 226210 Uttar Pradesh,15.10.2020,http://abvmuup.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Atal Bihari Vajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya),Not Found,(State University),Bilaspur,Bilaspur Vishwavidyalaya,NA,"Old High Court Building Gandhi Chowk Bilaspur – 495 001 Chhattisgarh.  
Name changed w.e.f. 12.09.2018      ",03.02.2012,https://www.bilaspuruniversity.ac.in/index.php,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Atal Medical and Research University,Not Found,(State University),Mandi,NA,NA,Himachal Pradesh (formerly Himachal Pradesh University of Health Sciences) SLBS Medical College and Hospital Campus Ner Chowk Mandi Himachal Pradesh- 175008,11.06.2018,https://amruhp.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
ATLAS SKILLTECH UNIVERSITY,Not Found,(Private University),Mumbai,NA,NA,Building A CTS No.83 83/1 to 19 of village Kurla Taluka Kurla LBS Marg Kurla West Mumbai – 400 070 Maharashtra,04.08.2021,https://atlasuniversity.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Atmiya University,Not Found,(Private University),Rajkokt,NA,NA,Yogidham Gurukul Kalawad Road Rajkot – 360005 Gujarat.,13.04.2018,https://anu.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Atria University,Not Found,(Private University),Bangalore,NA,NA,ASKB Campus 1st Main Road AGS Colony Anandhnagar Hebbal Bengaluru - 560024 Karnataka,07.01.2022,https://www.atriauniversity.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AURO University of Hospitality and Management,Not Found,(Private University),Surat,NA,NA,Surat Gujarat.,12.10.2011,https://www.aurouniversity.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Aurora Higher Education & Research Academy,Not Found,(Deemed to be University),Hyderabad,NA,NA,Uppal Hyderabad – 500 013 Telangana,28.10.2022,https://aurora.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Avantika University,Not Found,(Private University),Ujjain,NA,NA,Vishwanathpuram Lekoda Village Ujjain – 456 006 Madhya Pradesh,12.01.2017,https://www.avantikauniversity.edu.in/index.php,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Avinashilingam Institute for Home Science & Higher Education for Women,320622,(Deemed University),Coimbatore,NA,NA,Coimbatore-641 043 Tamil Nadu.,08.06.1988,https://avinuty.ac.in/maincampus/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Awadesh Pratap Singh University,334681,(State University),Rewa,NA,NA,Rewa-486 003 Madhya Pradesh. .,1968,http://apsurewa.ac.in/,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Ayush and Health Sciences University of Chhattisgarh,304965,(State University),Raipur,NA,NA,G.E. Road Raipur-492 001 Chhattisgarh.,2008,https://www.cghealthuniv.com/,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Azim Premji University,364979,(Private University),Bangalore,NA,NA,134 Doddakanneli Next to Wipro Corporate Office Sarjapur Road Bangalore Karnataka.,13.10.2010,https://azimpremjiuniversity.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
B.L.D.E. Bijapur,314175,(Deemed University),Vijayapura,NA,NA,Karnataka,29.02.2008,https://bldedu.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
B.S. Abdur Rahman Crescent Institute of Science and Technology,368388,(Deemed University),Vandalur,NA,NA,Seethakathi Estate GST Road Vandalur Chennai – 600 048 Tamil Nadu.,16.12.2008,https://crescent.education/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Baba Farid University of Health Sciences,305258,(State University),Faridkot,NA,NA,Sadiq Road Faridkot-151 203 Punjab. .,2002,https://www.bfuhs.ac.in/,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Baba Ghulam Shah Badshah University,357238,(State University),Rajouri,NA,NA,Dhanour Rajouri-185131 Jammu & Kashmir. .,2005,https://www.bgsbu.ac.in/,University Grants Commission (UGC),15/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Baba Mast Nath University,Not Found,(Private University),Rohtak,NA,NA,Asthal Bohar Rohtak Haryana – 124 021.,10.02.2012,https://bmu.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Babasaheb Bhimrao Ambedkar Bihar University,307082,(State University),Muzaffarpur,NA,NA,Muzaffarpur-842 001 Bihar.,1952,https://www.brabu.net/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
