University_Name,IA ID,University_Type,IA_City,Former_Name,Name _Change _Date,Address,Establishment,Website_Link,Recognizing_Body,Date_of_Extration,UGC_Source_Link
Noble University,Not Found,(Private University),Junagarh,NA,NA,Noble Group of Institutions Parth Vatika Bhesan Road Near Bamangam Ta. & Distt. Junagadh - 362310 Gujarat,01.06.2022,https://nobleuniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Noida International University,369840,(Private University),Noida,NA,NA,Plot No.1 Sector 17-A Yamuna Expressway Gautam Budh Nagar-201301 Uttar Pradesh.,12.10.2010,https://niu.edu.in/,University Grants Commission (UGC),17/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Noorul Islam Centre for Higher Education,326441,(Deemed University),Thuckalay,NA,NA,Kumaracoil Thuckalay Kanyakumari District Tamil Nadu – 629 175. .,08.12.2008,http://www.niuniv.com/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
North East Adventist University,Not Found,(Private University),Jaintia hills,NA,NA,Khliehtyrshi P.O Thadlaskein- 793151 West Jaintia Hills District Meghalaya,07.08.2020,https://www.neauniversity.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
North East Christian University,Not Found,(Private University),Medziphema,NA,NA,Anchor Complex East Block Burma Camp Post Box- 109 Dimapur- 797112 Nagaland,05.06.2013,https://necu.ac.in/,University Grants Commission (UGC),17/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
North East Frontier Technical University,322708,(Private University),"Along, Arunachal Pradesh",NA,NA,Sibu-Puyi Aalo (PO) West Siang (Distt.) Arunachal Pradesh –791001,03.09.2014,https://www.neftu.edu.in/,University Grants Commission (UGC),17/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
North Eastern Hill University,311376,(Central University),Shillong,NA,NA,NEHU Campus Shilong-793 022 Meghalaya.,1973,https://nehu.ac.in/directory/j,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
North Eastern Regional Institute of Science & Technology,329136,(Deemed University),Nirjuli,NA,NA,Nirjuli Itanagar-791109 Arunachal Pradesh.,31.05.2005,https://www.nerist.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Nrupathunga University,Not Found,(State University),Bengaluru,NA,NA,Nrupathunga Road Bengaluru Karnataka,19.06.2020,http://www.nrupathungauniversityblr.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
O.P. Jindal Global University,Not Found,(Private University),Sonipat,NA,NA,Sonipat-Narela Road Near Jagdishpur Village Sonipat-131001 Haryana.,10.11.2006,https://jgu.edu.in/,University Grants Commission (UGC),17/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
O.P. Jindal University,Not Found,(Private University),Raigarh,NA,NA,Knowledge Park Gharghoda Road Punjipathra Raigarh-496001 Chhattisgarh,21.08.2014,https://www.opju.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Odisha State Open University,Not Found,(State University),Sambalpur,NA,NA,G.M. University Campus Budharaja Sambalpur – 768004 Odisha.,21.02.2015,http://www.osou.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Odisha University of Technology and Research,Not Found,(State University),Bhubaneswar,NA,NA,Techno Campus Ghatikia P.O Mahalaxmi Vihar Bhubaneswar- 751029 Odisha,08.10.2021,https://www.cet.edu.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Om Sterling Global University,Not Found,(Private University),Hisar,NA,NA,NH-52 Hisar-Chandigarh Road Hisar-,15.03.2019,https://www.osgu.ac.in/?utm_source=GMB&utm_medium=organic,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
OPJS University,323710,(Private University),Rajasthan,NA,NA,Rawatsar Kunjila Tehsil-Rajgarh Distt. – Churu Rajasthan.,16.09.2013,https://www.opjsuniversity.edu.in/,University Grants Commission (UGC),17/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Oriental University,Not Found,(Private University),Indore,NA,NA,Opp. Rewati Range Gate No. 1 Sanwer Road PO Box No. 311 Vijay Nagar Post Office Indore – 452 010 Madhya Pradesh.,04.05.2011,https://oui.edu.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Orissa University of Agriculture & Technology,Not Found,(State University),Bhubaneswar,NA,NA,Bhubaneswar-751 003 Odisha. .,1962,https://ouat.nic.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Osmania University,305604,(State University),Hyderabad,NA,NA,Administratiave Building Hyderabad-500 007 Telangana.,1918,https://www.osmania.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
P.K. University,Not Found,(Private University),Shivpuri,NA,NA,Village – Thanara Tehsil – Karera NH – 27 Shivpuri,19.08.2015,http://pkuniversity.edu.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
P.P. Savani University,Not Found,(Private University),Surat,NA,NA,NH-8 GETCO Near Biltech Village – Dhamdod Kosamba Ta – Mangrol Dist – Surat – 394125 Gujarat.,31.03.2017,https://www.ppsu.ac.in/,University Grants Commission (UGC),17/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
P.V. Narsimha Rao Telangana Veterinary University,Not Found,(State University),Hyderabad,NA,NA,Rajendranagar Hyderabad – 500030.,21.11.2014,https://tsvu.nic.in/home.aspx,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pacific Academy of Higher Education & Research University,307597,(Private University),Udaipur,NA,NA,(PAHER) Pacific Hills Airport Road Pratap Nagar Extension Debari Udaipur – 313 024 Rajasthan. .,29.04.2010,https://www.pacific-university.ac.in/contact,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pacific Medical University,363612,(Private University),Udaipur,NA,NA,Bhilo Ka Bedla Bye Pass National Highway 27 Udaipur Rajasthan.,04.03.2014,www.pacificmedicaluniversity.ac.in,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Padmashree Dr. D.Y. Patil Vidyapeeth,305231,(Deemed University),Navi Mumbai,NA,NA,Sector 7 Nerul Navi Mumbai 400706 Maharashtra.,20.06.2002,http://www.dypatil.edu/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Palamuru University,311366,(State University),Mahbubnagar,NA,NA,Ayyappa Complex Opp. Police Head Quarters Mahabubnagar – 509 001 Telangana.,2008,https://palamuruuniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pandit Deendayal Energy University (Formerly Pandit Deendayal Petroleum University),356931,(Private University),Gandhinagar,Pandit Deendayal Petroleum University,18.01.2021,"Knowledge Corridor Raisan Dist. Gandhinagar – 382007 Gujarat.  
Name changted w.e.f. 18.01.2021      ",04.04.2007,https://pdpu.ac.in/admissions-contacts.html,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pandit Deendayal Upadhyaya Shekhawati University (Formerly Shekhawati University),Not Found,(State University),Sikar,Shekhawati Universit,NA,Girls Hostel Building Behind Shri Kalyan Government College Sikar – 332001 Rajasthan.,2012,https://shekhauni.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pandit Lakhmi Chand State University of Performing and Visual Arts (Formerly State University of Performing and Visual Arts),Not Found,(State University),Rohtak,State University of Performing and Visual Arts,NA,Integrated Campus Sector-6 Rohtak Haryana.,05.08.2014,http://www.prsu.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Pandit S.N. Shukla University,Not Found,(State University),Shahdol,NA,NA,Shahdol – 484001 Madhya Pradesh.,15.09.2016,https://ptsnsuniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
